STNAME,UDPYOPI,year_start,year_end,wt_var,url
TOTAL,"2,110,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,"38,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,"6,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,"50,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,"22,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,"165,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,"35,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,"28,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,"13,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,"2,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,"140,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,"41,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,"5,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,"16,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,"73,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
INDIANA,"56,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,"17,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,"10,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,"50,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,"25,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,"12,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,"30,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,"67,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,"81,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,"16,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSISSIPPI,"20,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSOURI,"34,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MONTANA,"8,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEBRASKA,"9,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEVADA,"34,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW HAMPSHIRE,"14,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW JERSEY,"67,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW MEXICO,"12,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW YORK,"103,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH CAROLINA,"76,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH DAKOTA,"3,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OHIO,"104,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OKLAHOMA,"26,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OREGON,"37,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
PENNSYLVANIA,"106,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
RHODE ISLAND,"6,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH CAROLINA,"37,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH DAKOTA,"5,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TENNESSEE,"44,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TEXAS,"146,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
UTAH,"30,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VERMONT,"5,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VIRGINIA,"63,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WASHINGTON,"68,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WEST VIRGINIA,"16,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WISCONSIN,"36,000",2016,2017,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2016-2017-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
