STNAME,year_start,year_end,variable,control,population,query,wt_var,url
ALABAMA,2002,2003,ABODANL,NONE,"28,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DALABAMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DALASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,2002,2003,ABODANL,NONE,"22,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DARIZONA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,2002,2003,ABODANL,NONE,"18,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DARKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,2002,2003,ABODANL,NONE,"195,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DCALIFORNIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,2002,2003,ABODANL,NONE,"26,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DCOLORADO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,2002,2003,ABODANL,NONE,"14,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DCONNECTICUT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,2002,2003,ABODANL,NONE,"5,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DDELAWARE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DDISTRICT+OF+COLUMBIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,2002,2003,ABODANL,NONE,"98,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DFLORIDA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,2002,2003,ABODANL,NONE,"47,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DGEORGIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,2002,2003,ABODANL,NONE,"2,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DHAWAII&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,2002,2003,ABODANL,NONE,"8,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DIDAHO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,2002,2003,ABODANL,NONE,"28,000",1,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2002-2003-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DILLINOIS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
